taxonomy,primary,displayName,level,isBasic,basicCategory
community_and_government > government_office > social_security_service,social_security_service,Social Security Service,2,false,government_office
community_and_government > government_office > tax_office,tax_office,Tax Office,2,false,government_office
community_and_government > government_office > town_hall,town_hall,Town Hall,2,false,government_office
community_and_government > government_office > unemployment_office,unemployment_office,Unemployment Office,2,false,government_office
community_and_government > military_site,military_site,Military Site,1,true,military_site
community_and_government > military_site > military_base,military_base,Military Base,2,true,military_base
community_and_government > military_site > military_office,military_office,Military Office,2,true,military_office
community_and_government > public_facility,public_facility,Public Facility,1,true,public_facility
community_and_government > public_facility > public_fountain,public_fountain,Public Fountain,2,true,public_fountain
community_and_government > public_facility > public_fountain > drinking_fountain,drinking_fountain,Drinking Fountain,3,false,public_fountain
community_and_government > public_facility > public_pathway,public_pathway,Public Pathway,2,true,public_pathway
community_and_government > public_facility > public_phone,public_phone,Public Phone,2,false,public_facility
community_and_government > public_facility > public_plaza,public_plaza,Public Plaza,2,true,public_plaza
community_and_government > public_facility > public_restroom,public_restroom,Public Restroom,2,true,public_restroom
community_and_government > public_safety_service,public_safety_service,Public Safety Service,1,true,public_safety_service
community_and_government > public_safety_service > fire_station,fire_station,Fire Station,2,true,fire_station
community_and_government > public_safety_service > jail_or_prison,jail_or_prison,Jail or Prison,2,true,jail_or_prison
community_and_government > public_safety_service > jail_or_prison > juvenile_detention_center,juvenile_detention_center,Juvenile Detention Center,3,false,jail_or_prison
community_and_government > public_safety_service > police_station,police_station,Police Station,2,true,police_station
community_and_government > public_utility,public_utility,Public Utility,1,true,public_utility
community_and_government > public_utility > electric_utility_provider,electric_utility_provider,Electric Utility Provider,2,true,electric_utility_provider
community_and_government > public_utility > garbage_collection_service,garbage_collection_service,Garbage Collection Service,2,false,public_utility
community_and_government > public_utility > natural_gas_utility_provider,natural_gas_utility_provider,Natural Gas Utility Provider,2,true,natural_gas_utility_provider
community_and_government > public_utility > septic_service,septic_service,Septic Service,2,false,public_utility
community_and_government > public_utility > water_utility_provider,water_utility_provider,Water Utility Provider,2,true,water_utility_provider
