basic_category,display_name,taxonomy,level
industrial_facility_or_service,Industrial Facility or Service,services_and_business > industrial_facility_or_service,1
laundry_service,Laundry Service,services_and_business > laundry_service,1
legal_service,Legal Service,services_and_business > legal_service,1
attorney_or_law_firm,Attorney or Law Firm,services_and_business > legal_service > attorney_or_law_firm,2
media_service,Media Service,services_and_business > media_service,1
radio_station,Radio Station,services_and_business > media_service > media_news_company > radio_station,3
television_station,Television Station,services_and_business > media_service > media_news_company > television_station,3
printing_service,Printing Service,services_and_business > printing_service,1
professional_service,Professional Service,services_and_business > professional_service,1
real_estate_service,Real Estate Service,services_and_business > real_estate_service,1
rental_service,Rental Service,services_and_business > rental_service,1
security_service,Security Service,services_and_business > security_service,1
shipping_or_delivery_service,Shipping or Delivery Service,services_and_business > shipping_or_delivery_service,1
storage_facility,Storage Facility,services_and_business > storage_facility,1
technical_service,Technical Service,services_and_business > technical_service,1
telecommunications_service,Telecommunications Service,services_and_business > telecommunications_service,1
utility_energy_infrastructure,Utility Energy Infrastructure,services_and_business > utility_energy_infrastructure,1
shopping,Shopping,shopping,0
convenience_store,Convenience Store,shopping > convenience_store,1
department_store,Department Store,shopping > department_store,1
discount_store,Discount Store,shopping > discount_store,1
fashion_and_apparel_store,Fashion and Apparel Store,shopping > fashion_and_apparel_store,1
food_and_beverage_store,Food and Beverage Store,shopping > food_and_beverage_store,1
kiosk,Kiosk,shopping > kiosk,1
market,Market,shopping > market,1
farmers_market,Farmers Market,shopping > market > farmers_market,2
second_hand_store,Second Hand Store,shopping > second_hand_store,1
shopping_mall,Shopping Mall,shopping > shopping_mall,1
shopping_service,Shopping Service,shopping > shopping_service,1
specialty_store,Specialty Store,shopping > specialty_store,1
animal_and_pet_store,Animal and Pet Store,shopping > specialty_store > animal_and_pet_store,2
arts_crafts_and_hobby_store,Arts Crafts and Hobby Store,shopping > specialty_store > arts_crafts_and_hobby_store,2
books_music_and_video_store,Books Music and Video Store,shopping > specialty_store > books_music_and_video_store,2
electronics_store,Electronics Store,shopping > specialty_store > electronics_store,2
flowers_and_gifts_store,Flowers and Gifts Store,shopping > specialty_store > flowers_and_gifts_store,2
hardware_home_and_garden_store,Hardware Home and Garden Store,shopping > specialty_store > hardware_home_and_garden_store,2
musical_instrument_and_pro_audio_store,Musical Instrument and Pro Audio Store,shopping > specialty_store > musical_instrument_and_pro_audio_store,2
office_supply_store,Office Supply Store,shopping > specialty_store > office_supply_store,2
personal_care_and_beauty_store,Personal Care and Beauty Store,shopping > specialty_store > personal_care_and_beauty_store,2
pharmacy_and_drug_store,Pharmacy and Drug Store,shopping > specialty_store > pharmacy_and_drug_store,2
sporting_goods_store,Sporting Goods Store,shopping > specialty_store > sporting_goods_store,2
toys_and_games_store,Toys and Games Store,shopping > specialty_store > toys_and_games_store,2
vehicle_parts_store,Vehicle Parts Store,shopping > specialty_store > vehicle_parts_store,2
superstore,Superstore,shopping > superstore,1
vehicle_dealer,Vehicle Dealer,shopping > vehicle_dealer,1
auto_dealer,Auto Dealer,shopping > vehicle_dealer > auto_dealer,2
warehouse_club_store,Warehouse Club Store,shopping > warehouse_club_store,1
sports_and_recreation,Sports and Recreation,sports_and_recreation,0
park,Park,sports_and_recreation > park,1
dog_park,Dog Park,sports_and_recreation > park > dog_park,2
national_park,National Park,sports_and_recreation > park > national_park,2
playground,Playground,sports_and_recreation > park > playground,2
recreational_equipment_rental,Recreational Equipment Rental,sports_and_recreation > recreational_equipment_rental,1
recreational_trail_or_path,Recreational Trail or Path,sports_and_recreation > recreational_trail_or_path,1
sport_league,Sport League,sports_and_recreation > sport_league,1
sport_or_fitness_facility,Sport or Fitness Facility,sports_and_recreation > sport_or_fitness_facility,1
fitness_studio,Fitness Studio,sports_and_recreation > sport_or_fitness_facility > fitness_studio,2
golf_course,Golf Course,sports_and_recreation > sport_or_fitness_facility > golf_course,2
gym,Gym,sports_and_recreation > sport_or_fitness_facility > gym,2
skate_park,Skate Park,sports_and_recreation > sport_or_fitness_facility > skate_park,2
skating_rink,Skating Rink,sports_and_recreation > sport_or_fitness_facility > skating_rink,2
sport_court,Sport Court,sports_and_recreation > sport_or_fitness_facility > sport_court,2
sport_field,Sport Field,sports_and_recreation > sport_or_fitness_facility > sport_field,2
sports_complex,Sports Complex,sports_and_recreation > sport_or_fitness_facility > sports_complex,2
swimming_pool,Swimming Pool,sports_and_recreation > sport_or_fitness_facility > swimming_pool,2
sport_or_recreation_club,Sport or Recreation Club,sports_and_recreation > sport_or_recreation_club,1
sport_team,Sport Team,sports_and_recreation > sport_team,1
travel_and_transportation,Travel and Transportation,travel_and_transportation,0
air_transport_facility_or_service,Air Transport Facility or Service,travel_and_transportation > air_transport_facility_or_service,1
airport,Airport,travel_and_transportation > air_transport_facility_or_service > airport,2
fueling_station,Fueling Station,travel_and_transportation > fueling_station,1
ev_charging_station,EV Charging Station,travel_and_transportation > fueling_station > ev_charging_station,2
gas_station,Gas Station,travel_and_transportation > fueling_station > gas_station,2
ground_transport_facility_or_service,Ground Transport Facility or Service,travel_and_transportation > ground_transport_facility_or_service,1
public_transit_facility_or_service,Public Transit Facility or Service,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service,2
rail_facility_or_service,Rail Facility or Service,travel_and_transportation > ground_transport_facility_or_service > rail_facility_or_service,2
train_station,Train Station,travel_and_transportation > ground_transport_facility_or_service > rail_facility_or_service > train_station,3
rest_stop,Rest Stop,travel_and_transportation > ground_transport_facility_or_service > road_structures_and_service > rest_stop,3
toll_station,Toll Station,travel_and_transportation > ground_transport_facility_or_service > road_structures_and_service > toll_station,3
taxi_or_ride_share_service,Taxi or Ride Share Service,travel_and_transportation > ground_transport_facility_or_service > taxi_or_ride_share_service,2
parking,Parking,travel_and_transportation > parking,1
park_and_ride,Park and Ride,travel_and_transportation > parking > park_and_ride,2
parking_garage,Parking Garage,travel_and_transportation > parking > parking_garage,2
parking_lot,Parking Lot,travel_and_transportation > parking > parking_lot,2
travel_service,Travel Service,travel_and_transportation > travel_service,1
vehicle_service,Vehicle Service,travel_and_transportation > vehicle_service,1
automotive_service,Automotive Service,travel_and_transportation > vehicle_service > automotive_service,2
water_transport_facility_or_service,Water Transport Facility or Service,travel_and_transportation > water_transport_facility_or_service,1
ferry_service,Ferry Service,travel_and_transportation > water_transport_facility_or_service > ferry_service,2
water_taxi_service,Water Taxi Service,travel_and_transportation > water_transport_facility_or_service > water_taxi_service,2
