legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
used_bookstore,used_bookstore,shopping > specialty_store > books_music_and_video_store > bookstore > used_bookstore,Used Bookstore
used_car_dealer,used_auto_dealer,shopping > vehicle_dealer > auto_dealer > used_auto_dealer,Used Auto Dealer
used_vintage_and_consignment,second_hand_clothing_store,shopping > second_hand_store > second_hand_clothing_store,Second Hand Clothing Store
utility_service,public_utility,community_and_government > public_utility,Public Utility
uzbek_restaurant,uzbek_restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > uzbek_restaurant,Uzbek Restaurant
vacation_rental_agents,vacation_rental_agent,travel_and_transportation > travel_service > vacation_rental_agent,Vacation Rental Agent
valet_service,valet_service,services_and_business > event_or_party_service > valet_service,Valet Service
vascular_medicine,vascular_medicine,health_care > outpatient_care_facility > specialized_health_care > cardiovascular_and_vascular_medicine > vascular_medicine,Vascular Medicine
vegan_restaurant,vegan_restaurant,food_and_drink > restaurant > special_diet_restaurant > vegan_restaurant,Vegan Restaurant
vegetarian_restaurant,vegetarian_restaurant,food_and_drink > restaurant > special_diet_restaurant > vegetarian_restaurant,Vegetarian Restaurant
vehicle_shipping,vehicle_shipping,services_and_business > shipping_or_delivery_service > vehicle_shipping,Vehicle Shipping
vehicle_wrap,vehicle_wrap,travel_and_transportation > vehicle_service > automotive_service > vehicle_wrap,Vehicle Wrap
vending_machine_supplier,vending_machine_supplier,services_and_business > b2b_service > supplier_or_distributor > vending_machine_supplier,Vending Machine Supplier
venezuelan_restaurant,venezuelan_restaurant,food_and_drink > restaurant > latin_american_restaurant > south_american_restaurant > venezuelan_restaurant,Venezuelan Restaurant
venison_restaurant,venison_restaurant,food_and_drink > restaurant > meat_restaurant > venison_restaurant,Venison Restaurant
venue_and_event_space,event_venue,arts_and_entertainment > event_venue,Event Venue
vermouth_bar,vermouth_bar,food_and_drink > alcoholic_beverage_venue > bar > vermouth_bar,Vermouth Bar
veterans_organization,veterans_organization,arts_and_entertainment > social_club > veterans_organization,Veterans Organization
veterinarian,veterinarian,lifestyle_services > animal_or_pet_service > veterinary_care > veterinarian,Veterinarian
veterinary_schools,veterinary_school,education > place_of_learning > college_university > medical_sciences_school > veterinary_school,Veterinary School
video_and_video_game_rentals,video_and_video_game_rental,shopping > specialty_store > books_music_and_video_store > video_and_video_game_rental,Video and Video Game Rental
video_film_production,video_film_production,services_and_business > media_service > video_film_production,Video Film Production
video_game_critic,video_game_critic,services_and_business > media_service > media_critic > video_game_critic,Video Game Critic
video_game_store,video_game_store,shopping > specialty_store > books_music_and_video_store > video_game_store,Video Game Store
videographer,videographer,services_and_business > event_or_party_service > videographer,Videographer
vietnamese_restaurant,vietnamese_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > vietnamese_restaurant,Vietnamese Restaurant
vinyl_record_store,vinyl_record_store,shopping > specialty_store > books_music_and_video_store > vinyl_record_store,Vinyl Record Store
virtual_reality_center,virtual_reality_center,arts_and_entertainment > science_attraction > virtual_reality_center,Virtual Reality Center
visa_agent,visa_agent,travel_and_transportation > travel_service > passport_and_visa_service > visa_agent,Visa Agent
visitor_center,visitor_center,travel_and_transportation > travel_service > visitor_center,Visitor Center
vitamins_and_supplements,vitamin_and_supplement_store,shopping > food_and_beverage_store > vitamin_and_supplement_store,Vitamin and Supplement Store
vocal_coach,vocal_coach,services_and_business > media_service > musical_instrument_service > vocal_coach,Vocal Coach
vocational_and_technical_school,vocational_and_technical_school,education > place_of_learning > specialty_school > vocational_and_technical_school,Vocational and Technical School
volleyball_club,volleyball_club,sports_and_recreation > sport_or_recreation_club > volleyball_club,Volleyball Club
volleyball_court,volleyball_court,sports_and_recreation > sport_or_fitness_facility > sport_court > volleyball_court,Volleyball Court
volunteer_association,volunteer_association,community_and_government > social_or_community_service > volunteer_association,Volunteer Association
waffle_restaurant,waffle_restaurant,food_and_drink > restaurant > breakfast_and_brunch_restaurant > waffle_restaurant,Waffle Restaurant
waldorf_school,waldorf_school,education > place_of_learning > school > waldorf_school,Waldorf School
walk_in_clinic,walk_in_clinic,health_care > emergency_or_urgent_care_facility > walk_in_clinic,Walk-In Clinic
walking_tours,walking_tour,travel_and_transportation > travel_service > tour_operator > walking_tour,Walking Tour
wallpaper_installers,wallpaper_installer,services_and_business > home_service > wallpaper_installer,Wallpaper Installer
wallpaper_store,wallpaper_store,shopping > specialty_store > hardware_home_and_garden_store > wallpaper_store,Wallpaper Store
warehouse_rental_services_and_yards,warehouse_rental_service_yard,services_and_business > b2b_service > b2b_transportation_and_storage_service > b2b_storage > warehouse_rental_service_yard,Warehouse Rental Service Yard
warehouses,warehouse,services_and_business > b2b_service > b2b_transportation_and_storage_service > b2b_storage > warehouse,Warehouse
washer_and_dryer_repair_service,washer_and_dryer_repair_service,services_and_business > home_service > washer_and_dryer_repair_service,Washer and Dryer Repair Service
watch_repair_service,watch_repair_service,services_and_business > technical_service > watch_repair_service,Watch Repair Service
watch_store,watch_store,shopping > fashion_and_apparel_store > jewelry_store > watch_store,Watch Store
water_delivery,water_delivery,services_and_business > home_service > water_delivery,Water Delivery
water_heater_installation_repair,water_heater_installation_repair,services_and_business > home_service > water_heater_installation_repair,Water Heater Installation Repair
water_park,water_park,sports_and_recreation > park > water_park,Water Park
water_purification_services,water_purification_service,services_and_business > home_service > water_purification_service,Water Purification Service
water_softening_equipment_supplier,water_softening_equipment_supplier,services_and_business > b2b_service > supplier_or_distributor > water_softening_equipment_supplier,Water Softening Equipment Supplier
water_store,water_store,shopping > food_and_beverage_store > water_store,Water Store
water_supplier,water_utility_provider,community_and_government > public_utility > water_utility_provider,Water Utility Provider
water_taxi,water_taxi_service,travel_and_transportation > water_transport_facility_or_service > water_taxi_service,Water Taxi Service
water_treatment_equipment_and_services,b2b_water_treatment_service,services_and_business > b2b_service > b2b_environmental_service > b2b_water_treatment_service,B2B Water Treatment Service
waterfall,waterfall,geographic_entities > water_feature > waterfall,Waterfall
waterproofing,waterproofing,services_and_business > home_service > waterproofing,Waterproofing
