legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
hospital,hospital,health_care > hospital,Hospital
hospital_equipment_and_supplies,b2b_hospital_equipment_and_supplies,services_and_business > b2b_service > b2b_medical_support_service > b2b_hospital_equipment_and_supplies,B2B Hospital Equipment and Supplies
hospitalist,hospital,health_care > hospital,Hospital
hostel,hostel,lodging > hostel,Hostel
hot_air_balloons_tour,hot_air_balloons_tour,travel_and_transportation > travel_service > tour_operator > hot_air_balloons_tour,Hot Air Balloons Tour
hot_dog_restaurant,hot_dog_restaurant,food_and_drink > restaurant > meat_restaurant > hot_dog_restaurant,Hot Dog Restaurant
hot_springs,hot_springs,geographic_entities > water_feature > hot_springs,Hot Springs
hot_tubs_and_pools,hot_tub_and_pool_store,shopping > specialty_store > hardware_home_and_garden_store > hot_tub_and_pool_store,Hot Tub and Pool Store
hotel,hotel,lodging > hotel,Hotel
hotel_bar,hotel_bar,food_and_drink > alcoholic_beverage_venue > bar > hotel_bar,Hotel Bar
hotel_supply_service,hotel_supply_service,services_and_business > b2b_service > supplier_or_distributor > hotel_supply_service,Hotel Supply Service
house_sitting,house_sitting,services_and_business > home_service > house_sitting,House Sitting
houseboat,houseboat,lodging > houseboat,Houseboat
housing_authorities,housing_authority,community_and_government > social_or_community_service > housing_authority,Housing Authority
housing_cooperative,housing_cooperative,services_and_business > real_estate_service > housing_cooperative,Housing Cooperative
human_resource_services,b2b_human_resource_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_human_resource_service,B2B Human Resource Service
hungarian_restaurant,hungarian_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > hungarian_restaurant,Hungarian Restaurant
hunting_and_fishing_supplies,hunting_and_fishing_store,shopping > specialty_store > sporting_goods_store > hunting_and_fishing_store,Hunting and Fishing Store
hvac_services,hvac_service,services_and_business > home_service > hvac_service,HVAC Service
hvac_supplier,hvac_supplier,services_and_business > b2b_service > supplier_or_distributor > hvac_supplier,HVAC Supplier
hybrid_car_repair,hybrid_car_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > hybrid_car_repair,Hybrid Car Repair
hydraulic_equipment_supplier,hydraulic_equipment_supplier,services_and_business > b2b_service > supplier_or_distributor > hydraulic_equipment_supplier,Hydraulic Equipment Supplier
hydraulic_repair_service,hydraulic_repair_service,services_and_business > technical_service > hydraulic_repair_service,Hydraulic Repair Service
hydro_jetting,hydro_jetting,services_and_business > home_service > hydro_jetting,Hydro Jetting
hydroponic_gardening,hydroponic_gardening_store,shopping > specialty_store > hardware_home_and_garden_store > nursery_and_gardening_store > hydroponic_gardening_store,Hydroponic Gardening Store
hydrotherapy,hydrotherapy,lifestyle_services > wellness_service > hydrotherapy,Hydrotherapy
hypnosis_hypnotherapy,hypnotherapy,health_care > outpatient_care_facility > behavioral_or_mental_health_clinic > psychiatry_or_psychology_service > psychotherapy > hypnotherapy,Hypnotherapy
iberian_restaurant,iberian_restaurant,food_and_drink > restaurant > european_restaurant > iberian_restaurant,Iberian Restaurant
ice_cream_and_frozen_yoghurt,ice_cream_shop,food_and_drink > casual_eatery > dessert_shop > ice_cream_shop,Ice Cream Shop
ice_cream_shop,ice_cream_shop,food_and_drink > casual_eatery > dessert_shop > ice_cream_shop,Ice Cream Shop
ice_skating_rink,ice_skating_rink,sports_and_recreation > sport_or_fitness_facility > skating_rink > ice_skating_rink,Ice Skating Rink
ice_supplier,ice_supplier,services_and_business > b2b_service > supplier_or_distributor > ice_supplier,Ice Supplier
image_consultant,image_consultant,lifestyle_services > personal_or_beauty_service > image_consultant,Image Consultant
immigration_and_naturalization,immigration_and_naturalization_office,community_and_government > government_office > immigration_and_naturalization_office,Immigration and Naturalization Office
immigration_assistance_services,immigration_assistance_service,services_and_business > professional_service > immigration_assistance_service,Immigration Assistance Service
immigration_law,immigration_law,services_and_business > legal_service > attorney_or_law_firm > immigration_law,Immigration Law
immunodermatologist,immunodermatology,health_care > outpatient_care_facility > specialized_health_care > medical_skin_care > dermatology > immunodermatology,Immunodermatology
imported_food,imported_food_store,shopping > food_and_beverage_store > imported_food_store,Imported Food Store
importer_and_exporter,import_export_service,services_and_business > b2b_service > supplier_or_distributor > import_export_service,Import Export Service
importers,importer,services_and_business > b2b_service > supplier_or_distributor > import_export_service > importer,Importer
indian_grocery_store,indian_grocery_store,shopping > food_and_beverage_store > grocery_store > indian_grocery_store,Indian Grocery Store
indian_restaurant,indian_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > indian_restaurant,Indian Restaurant
indian_sweets_shop,indian_sweets_shop,food_and_drink > casual_eatery > candy_store > indian_sweets_shop,Indian Sweets Shop
indo_chinese_restaurant,indo_chinese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > indo_chinese_restaurant,Indo Chinese Restaurant
indonesian_restaurant,indonesian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > indonesian_restaurant,Indonesian Restaurant
indoor_golf_center,indoor_golf_center,sports_and_recreation > sport_or_recreation_club > golf_club > indoor_golf_center,Indoor Golf Center
indoor_landscaping,indoor_landscaping,services_and_business > home_service > indoor_landscaping,Indoor Landscaping
indoor_playcenter,indoor_playcenter,sports_and_recreation > sport_or_fitness_facility > indoor_playcenter,Indoor Playcenter
industrial_cleaning_services,industrial_cleaning_service,services_and_business > professional_service > cleaning_service > industrial_cleaning_service,Industrial Cleaning Service
industrial_company,industrial_company,services_and_business > corporate_or_business_office > industrial_company,Industrial Company
industrial_equipment,industrial_equipment_manufacturer,services_and_business > b2b_service > manufacturer > machinery_and_tool_manufacturer > industrial_equipment_manufacturer,Industrial Equipment Manufacturer
industrial_spares_and_products_wholesaler,industrial_spares_and_products_wholesaler,services_and_business > b2b_service > wholesaler > industrial_spares_and_products_wholesaler,Industrial Spares and Products Wholesaler
infectious_disease_specialist,infectious_disease,health_care > outpatient_care_facility > specialized_health_care > internal_medicine > infectious_disease,Infectious Disease
information_technology_company,information_technology_company,services_and_business > corporate_or_business_office > information_technology_company,Information Technology Company
inn,inn,lodging > inn,Inn
inspection_services,inspection_service,services_and_business > building_or_construction_service > inspection_service,Inspection Service
installment_loans,installment_loans,services_and_business > financial_service > installment_loans,Installment Loans
instrumentation_engineers,instrumentation_engineer,services_and_business > building_or_construction_service > instrumentation_engineer,Instrumentation Engineer
insulation_installation,insulation_installation,services_and_business > home_service > insulation_installation,Insulation Installation
insurance_agency,insurance_agency,services_and_business > financial_service > insurance_agency,Insurance Agency
interior_design,interior_design,services_and_business > home_service > interior_design,Interior Design
interlock_system,auto_parts_store,shopping > specialty_store > vehicle_parts_store > auto_parts_store,Auto Parts Store
internal_medicine,internal_medicine,health_care > outpatient_care_facility > specialized_health_care > internal_medicine,Internal Medicine
international_business_and_trade_services,b2b_international_trade_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_international_trade_service,B2B International Trade Service
international_grocery_store,international_grocery_store,shopping > food_and_beverage_store > grocery_store > international_grocery_store,International Grocery Store
international_restaurant,international_fusion_restaurant,food_and_drink > restaurant > international_fusion_restaurant,International Fusion Restaurant
internet_cafe,internet_cafe,food_and_drink > casual_eatery > cafe > internet_cafe,Internet Cafe
internet_marketing_service,internet_marketing_service,services_and_business > professional_service > internet_marketing_service,Internet Marketing Service
internet_service_provider,internet_service_provider,services_and_business > technical_service > internet_service_provider,Internet Service Provider
inventory_control_service,inventory_control_service,services_and_business > b2b_service > b2b_industrial_and_machine_service > inventory_control_service,Inventory Control Service
investing,investing,services_and_business > financial_service > investing,Investing
investment_management_company,investment_management_company,services_and_business > financial_service > investment_management_company,Investment Management Company
ip_and_internet_law,ip_and_internet_law,services_and_business > legal_service > attorney_or_law_firm > ip_and_internet_law,Ip and Internet Law
irish_pub,irish_pub,food_and_drink > alcoholic_beverage_venue > bar > pub > irish_pub,Irish Pub
irish_restaurant,irish_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant > irish_restaurant,Irish Restaurant
iron_and_steel_industry,metal_fabricator,services_and_business > b2b_service > manufacturer > metal_fabricator,Metal Fabricator
iron_and_steel_store,iron_and_steel_store,services_and_business > b2b_service > wholesaler > iron_and_steel_store,Iron and Steel Store
iron_work,iron_fabricator,services_and_business > b2b_service > manufacturer > metal_fabricator > iron_fabricator,Iron Fabricator
ironworkers,ironworker,services_and_business > building_or_construction_service > ironworker,Ironworker
irrigation,irrigation_service,services_and_business > home_service > irrigation_service,Irrigation Service
irrigation_companies,irrigation_service,services_and_business > home_service > irrigation_service,Irrigation Service
island,island,geographic_entities > land_feature > island,Island
israeli_restaurant,israeli_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > israeli_restaurant,Israeli Restaurant
it_consultant,it_consultant,services_and_business > technical_service > it_service_and_computer_repair > it_consultant,IT Consultant
it_service_and_computer_repair,it_service_and_computer_repair,services_and_business > technical_service > it_service_and_computer_repair,IT Service and Computer Repair
it_support_and_service,it_service_and_computer_repair,services_and_business > technical_service > it_service_and_computer_repair,IT Service and Computer Repair
italian_restaurant,italian_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant > italian_restaurant,Italian Restaurant
iv_hydration,iv_hydration,lifestyle_services > wellness_service > iv_hydration,IV Hydration
jail_and_prison,jail_or_prison,community_and_government > public_safety_service > jail_or_prison,Jail or Prison
jamaican_restaurant,jamaican_restaurant,food_and_drink > restaurant > latin_american_restaurant > caribbean_restaurant > jamaican_restaurant,Jamaican Restaurant
janitorial_services,janitorial_service,services_and_business > professional_service > cleaning_service > janitorial_service,Janitorial Service
japanese_confectionery_shop,japanese_confectionery_shop,food_and_drink > casual_eatery > candy_store > japanese_confectionery_shop,Japanese Confectionery Shop
japanese_grocery_store,japanese_grocery_store,shopping > food_and_beverage_store > grocery_store > japanese_grocery_store,Japanese Grocery Store
japanese_restaurant,japanese_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > japanese_restaurant,Japanese Restaurant
jazz_and_blues,jazz_and_blues_venue,arts_and_entertainment > performing_arts_venue > music_venue > jazz_and_blues_venue,Jazz and Blues Venue
jehovahs_witness_kingdom_hall,jehovahs_witness_place_of_worship,cultural_and_historic > place_of_worship > christian_place_of_worship > restorationist_place_of_worship > jehovahs_witness_place_of_worship,Jehovahs Witness Place of Worship
jet_skis_rental,jet_skis_rental,sports_and_recreation > recreational_equipment_rental > jet_skis_rental,Jet Skis Rental
jewelry_and_watches_manufacturer,jewelry_and_watches_manufacturer,services_and_business > b2b_service > manufacturer > jewelry_and_watches_manufacturer,Jewelry and Watches Manufacturer
jewelry_manufacturer,jewelry_manufacturer,services_and_business > b2b_service > manufacturer > jewelry_manufacturer,Jewelry Manufacturer
jewelry_repair_service,jewelry_repair_service,services_and_business > technical_service > jewelry_repair_service,Jewelry Repair Service
jewelry_store,jewelry_store,shopping > fashion_and_apparel_store > jewelry_store,Jewelry Store
jewish_restaurant,jewish_restaurant,food_and_drink > restaurant > special_diet_restaurant > jewish_restaurant,Jewish Restaurant
junk_removal_and_hauling,junk_removal_and_hauling,services_and_business > home_service > junk_removal_and_hauling,Junk Removal and Hauling
junkyard,junkyard,shopping > second_hand_store > junkyard,Junkyard
juvenile_detention_center,juvenile_detention_center,community_and_government > public_safety_service > jail_or_prison > juvenile_detention_center,Juvenile Detention Center
karaoke,karaoke_venue,arts_and_entertainment > performing_arts_venue > music_venue > karaoke_venue,Karaoke Venue
karaoke_rental,karaoke_rental,services_and_business > event_or_party_service > karaoke_rental,Karaoke Rental
karate_club,karate_club,sports_and_recreation > sport_or_recreation_club > martial_arts_club > karate_club,Karate Club
key_and_locksmith,key_and_locksmith,services_and_business > home_service > key_and_locksmith,Key and Locksmith
kickboxing_club,kickboxing_club,sports_and_recreation > sport_or_recreation_club > martial_arts_club > kickboxing_club,Kickboxing Club
kids_hair_salon,kids_hair_salon,lifestyle_services > personal_or_beauty_service > hair_salon > kids_hair_salon,Kids Hair Salon
kids_recreation_and_party,kids_recreation_and_party,services_and_business > event_or_party_service > kids_recreation_and_party,Kids Recreation and Party
kiosk,kiosk,shopping > kiosk,Kiosk
kitchen_and_bath,kitchen_and_bath_store,shopping > specialty_store > hardware_home_and_garden_store > kitchen_and_bath_store,Kitchen and Bath Store
kitchen_incubator,kitchen_incubator,services_and_business > real_estate_service > kitchen_incubator,Kitchen Incubator
kitchen_remodeling,kitchen_remodeling,services_and_business > home_service > kitchen_remodeling,Kitchen Remodeling
kitchen_supply_store,kitchen_supply_store,shopping > specialty_store > hardware_home_and_garden_store > kitchen_and_bath_store > kitchen_supply_store,Kitchen Supply Store
kiteboarding,kiteboarding,sports_and_recreation > sport_or_fitness_facility > kiteboarding,Kiteboarding
kiteboarding_instruction,kiteboarding_instruction,sports_and_recreation > sport_or_fitness_facility > kiteboarding_instruction,Kiteboarding Instruction
knife_sharpening,knife_sharpening,services_and_business > home_service > knife_sharpening,Knife Sharpening
knitting_supply,knitting_supply_store,shopping > specialty_store > arts_crafts_and_hobby_store > craft_store > knitting_supply_store,Knitting Supply Store
kofta_restaurant,kofta_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > kofta_restaurant,Kofta Restaurant
kombucha,kombucha_bar,food_and_drink > non_alcoholic_beverage_venue > kombucha_bar,Kombucha Bar
korean_grocery_store,korean_grocery_store,shopping > food_and_beverage_store > grocery_store > korean_grocery_store,Korean Grocery Store
korean_restaurant,korean_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > korean_restaurant,Korean Restaurant
kosher_grocery_store,kosher_grocery_store,shopping > food_and_beverage_store > grocery_store > kosher_grocery_store,Kosher Grocery Store
kosher_restaurant,kosher_restaurant,food_and_drink > restaurant > special_diet_restaurant > kosher_restaurant,Kosher Restaurant
kurdish_restaurant,kurdish_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > kurdish_restaurant,Kurdish Restaurant
labor_union,labor_union,community_and_government > civic_organization > labor_union,Labor Union
laboratory,laboratory,services_and_business > technical_service > laboratory,Laboratory
laboratory_equipment_supplier,laboratory_equipment_supplier,services_and_business > b2b_service > supplier_or_distributor > laboratory_equipment_supplier,Laboratory Equipment Supplier
laboratory_testing,laboratory_testing,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service > laboratory_testing,Laboratory Testing
lactation_services,lactation_service,health_care > outpatient_care_facility > reproductive_perinatal_and_womens_care > lactation_service,Lactation Service
lake,lake,geographic_entities > water_feature > lake,Lake
land_surveying,land_surveying,services_and_business > real_estate_service > land_surveying,Land Surveying
landmark_and_historical_building,historic_site,cultural_and_historic > historic_site,Historic Site
landscape_architect,landscape_architect,services_and_business > home_service > landscaping > landscape_architect,Landscape Architect
landscaping,landscaping,services_and_business > home_service > landscaping,Landscaping
language_school,language_school,education > place_of_learning > specialty_school > language_school,Language School
laotian_restaurant,laotian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > laotian_restaurant,Laotian Restaurant
laser_cutting_service_provider,laser_cutting_service,services_and_business > b2b_service > b2b_industrial_and_machine_service > laser_cutting_service,Laser Cutting Service
laser_eye_surgery_lasik,refractive_surgery_or_lasik,health_care > outpatient_care_facility > vision_or_eye_care_clinic > ophthalmology > refractive_surgery_or_lasik,Refractive Surgery or Lasik
laser_hair_removal,laser_hair_removal,lifestyle_services > personal_or_beauty_service > hair_removal > laser_hair_removal,Laser Hair Removal
laser_tag,laser_tag,sports_and_recreation > sport_or_fitness_facility > laser_tag,Laser Tag
latin_american_restaurant,latin_american_restaurant,food_and_drink > restaurant > latin_american_restaurant,Latin American Restaurant
laundromat,laundromat,services_and_business > laundry_service > laundromat,Laundromat
laundry_services,laundry_service,services_and_business > laundry_service,Laundry Service
law_enforcement,police_station,community_and_government > public_safety_service > police_station,Police Station
law_schools,law_school,education > place_of_learning > college_university > law_school,Law School
lawn_bowling_club,lawn_bowling_club,sports_and_recreation > sport_or_recreation_club > lawn_bowling_club,Lawn Bowling Club
lawn_mower_repair_service,lawn_mower_repair_service,services_and_business > home_service > lawn_mower_repair_service,Lawn Mower Repair Service
lawn_mower_store,lawn_mower_store,shopping > specialty_store > hardware_home_and_garden_store > lawn_mower_store,Lawn Mower Store
lawn_service,lawn_service,services_and_business > home_service > landscaping > lawn_service,Lawn Service
lawyer,attorney_or_law_firm,services_and_business > legal_service > attorney_or_law_firm,Attorney or Law Firm
leather_goods,leather_goods_store,shopping > fashion_and_apparel_store > leather_goods_store,Leather Goods Store
leather_products_manufacturer,leather_products_manufacturer,services_and_business > b2b_service > manufacturer > leather_products_manufacturer,Leather Products Manufacturer
lebanese_restaurant,lebanese_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > lebanese_restaurant,Lebanese Restaurant
legal_services,legal_service,services_and_business > legal_service,Legal Service
library,library,education > library,Library
lice_treatment,specialized_health_care,health_care > outpatient_care_facility > specialized_health_care,Specialized Health Care
life_coach,life_coach,lifestyle_services > personal_or_beauty_service > life_coach,Life Coach
life_insurance,life_insurance,services_and_business > financial_service > insurance_agency > life_insurance,Life Insurance
light_rail_and_subway_stations,light_rail_and_subway_station,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service > light_rail_and_subway_station,Light Rail and Subway Station
lighthouse,lighthouse,cultural_and_historic > historic_site > lighthouse,Lighthouse
lighting_fixture_manufacturers,lighting_fixture_manufacturer,services_and_business > b2b_service > manufacturer > lighting_fixture_manufacturer,Lighting Fixture Manufacturer
lighting_fixtures_and_equipment,lighting_fixtures_and_equipment,services_and_business > home_service > lighting_fixtures_and_equipment,Lighting Fixtures and Equipment
lighting_store,lighting_store,shopping > specialty_store > hardware_home_and_garden_store > lighting_store,Lighting Store
lime_professionals,lime_professional,services_and_business > building_or_construction_service > lime_professional,Lime Professional
limo_services,limo_service,travel_and_transportation > ground_transport_facility_or_service > taxi_or_ride_share_service > limo_service,Limo Service
linen,linen_store,shopping > specialty_store > hardware_home_and_garden_store > linen_store,Linen Store
lingerie_store,lingerie_store,shopping > fashion_and_apparel_store > clothing_store > lingerie_store,Lingerie Store
lingerie_wholesaler,lingerie_wholesaler,services_and_business > b2b_service > wholesaler > lingerie_wholesaler,Lingerie Wholesaler
liquor_store,liquor_store,shopping > food_and_beverage_store > liquor_store,Liquor Store
live_and_raw_food_restaurant,live_and_raw_food_restaurant,food_and_drink > restaurant > special_diet_restaurant > live_and_raw_food_restaurant,Live and Raw Food Restaurant
livestock_breeder,livestock_breeder,services_and_business > b2b_service > b2b_agriculture_service > livestock_breeder,Livestock Breeder
livestock_dealers,livestock_dealer,services_and_business > b2b_service > b2b_agriculture_service > livestock_dealer,Livestock Dealer
livestock_feed_and_supply_store,livestock_feed_and_supply_store,shopping > specialty_store > animal_and_pet_store > livestock_feed_and_supply_store,Livestock Feed and Supply Store
local_and_state_government_offices,government_office,community_and_government > government_office,Government Office
lodge,lodge,lodging > lodge,Lodge
logging_contractor,logging_contractor,services_and_business > b2b_service > b2b_environmental_service > logging_contractor,Logging Contractor
logging_equipment_and_supplies,logging_equipment_and_supplies,services_and_business > b2b_service > b2b_environmental_service > logging_equipment_and_supplies,Logging Equipment and Supplies
logging_services,logging_service,services_and_business > b2b_service > b2b_environmental_service > logging_service,Logging Service
lookout,lookout,geographic_entities > built_feature > lookout,Lookout
lottery_ticket,lottery_vendor,arts_and_entertainment > gaming_venue > lottery_vendor,Lottery Vendor
lounge,lounge,food_and_drink > alcoholic_beverage_venue > lounge,Lounge
low_income_housing,low_income_housing,services_and_business > housing_or_property_service > low_income_housing,Low Income Housing
luggage_storage,luggage_storage,travel_and_transportation > travel_service > luggage_storage,Luggage Storage
luggage_store,luggage_store,shopping > fashion_and_apparel_store > luggage_store,Luggage Store
lumber_store,lumber_store,shopping > specialty_store > hardware_home_and_garden_store > building_supply_store > lumber_store,Lumber Store
macarons,macaron_shop,food_and_drink > casual_eatery > bakery > macaron_shop,Macaron Shop
machine_and_tool_rentals,machine_and_tool_rental,services_and_business > rental_service > machine_and_tool_rental,Machine and Tool Rental
machine_shop,machine_shop,services_and_business > technical_service > machine_shop,Machine Shop
magician,magician,services_and_business > event_or_party_service > magician,Magician
mailbox_center,mailbox_center,services_and_business > shipping_or_delivery_service > mailbox_center,Mailbox Center
major_airports,airport,travel_and_transportation > air_transport_facility_or_service > airport,Airport
makerspace,makerspace,arts_and_entertainment > science_attraction > makerspace,Makerspace
makeup_artist,makeup_artist,lifestyle_services > personal_or_beauty_service > skin_care_and_makeup > makeup_artist,Makeup Artist
malaysian_restaurant,malaysian_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > malaysian_restaurant,Malaysian Restaurant
manufacturers_agents_and_representatives,manufacturer,services_and_business > b2b_service > manufacturer,Manufacturer
manufacturing_and_industrial_consultant,manufacturing_and_industrial_consultant,services_and_business > b2b_service > b2b_industrial_and_machine_service > manufacturing_and_industrial_consultant,Manufacturing and Industrial Consultant
marble_and_granite_professionals,marble_and_granite_professional,services_and_business > building_or_construction_service > marble_and_granite_professional,Marble and Granite Professional
marching_band,music_venue,arts_and_entertainment > performing_arts_venue > music_venue,Music Venue
marina,marina,geographic_entities > built_feature > marina,Marina
market_stall,market_stall,shopping > market > market_stall,Market Stall
marketing_agency,marketing_agency,services_and_business > professional_service > marketing_agency,Marketing Agency
marketing_consultant,b2b_marketing_consultant,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_advertising_and_marketing_service > b2b_marketing_consultant,B2B Marketing Consultant
marriage_or_relationship_counselor,marriage_or_relationship_counseling,health_care > outpatient_care_facility > behavioral_or_mental_health_clinic > counseling > marriage_or_relationship_counseling,Marriage or Relationship Counseling
martial_arts_club,martial_arts_club,sports_and_recreation > sport_or_recreation_club > martial_arts_club,Martial Arts Club
masonry_concrete,masonry_concrete,services_and_business > home_service > masonry_concrete,Masonry Concrete
masonry_contractors,masonry_contractor,services_and_business > building_or_construction_service > masonry_contractor,Masonry Contractor
mass_media,media_service,services_and_business > media_service,Media Service
massage,massage_therapy,lifestyle_services > wellness_service > massage_therapy,Massage Therapy
massage_school,massage_school,education > place_of_learning > specialty_school > massage_school,Massage School
massage_therapy,massage_therapy,lifestyle_services > wellness_service > massage_therapy,Massage Therapy
matchmaker,matchmaker,lifestyle_services > personal_or_beauty_service > matchmaker,Matchmaker
maternity_centers,maternity_center,health_care > outpatient_care_facility > reproductive_perinatal_and_womens_care > maternity_center,Maternity Center
maternity_wear,maternity_wear,shopping > fashion_and_apparel_store > clothing_store > maternity_wear,Maternity Wear
mattress_manufacturing,mattress_manufacturing,services_and_business > b2b_service > manufacturer > mattress_manufacturing,Mattress Manufacturing
mattress_store,mattress_store,shopping > specialty_store > hardware_home_and_garden_store > mattress_store,Mattress Store
meat_restaurant,meat_restaurant,food_and_drink > restaurant > meat_restaurant,Meat Restaurant
meat_shop,butcher_shop,shopping > food_and_beverage_store > butcher_shop,Butcher Shop
meat_wholesaler,meat_wholesaler,services_and_business > b2b_service > wholesaler > meat_wholesaler,Meat Wholesaler
meatball_restaurant,meatball_restaurant,food_and_drink > restaurant > meat_restaurant > meatball_restaurant,Meatball Restaurant
mechanical_engineers,mechanical_engineer,services_and_business > building_or_construction_service > mechanical_engineer,Mechanical Engineer
media_agency,media_agency,services_and_business > media_service > media_news_company > media_agency,Media Agency
media_critic,media_critic,services_and_business > media_service > media_critic,Media Critic
media_news_company,media_news_company,services_and_business > media_service > media_news_company,Media News Company
media_news_website,media_news_website,services_and_business > media_service > media_news_website,Media News Website
media_restoration_service,media_restoration_service,services_and_business > media_service > media_restoration_service,Media Restoration Service
mediator,mediator,services_and_business > legal_service > mediator,Mediator
medical_cannabis_referral,medical_cannabis_referral,health_care > medical_service > medical_cannabis > medical_cannabis_referral,Medical Cannabis Referral
medical_center,outpatient_care_facility,health_care > outpatient_care_facility,Outpatient Care Facility
medical_law,medical_law,services_and_business > legal_service > attorney_or_law_firm > medical_law,Medical Law
medical_research_and_development,medical_research_institute,education > research_institute > medical_research_institute,Medical Research Institute
medical_school,medical_school,education > place_of_learning > specialty_school > medical_school,Medical School
medical_sciences_schools,medical_sciences_school,education > place_of_learning > college_university > medical_sciences_school,Medical Sciences School
medical_service_organizations,medical_service_organization,health_care > medical_service > medical_service_organization,Medical Service Organization
medical_spa,medical_spa,lifestyle_services > wellness_service > spa > medical_spa,Medical Spa
medical_supply,medical_supply_store,shopping > specialty_store > medical_supply_store,Medical Supply Store
medical_transportation,medical_transportation,health_care > medical_service > medical_transportation,Medical Transportation
meditation_center,meditation_center,lifestyle_services > wellness_service > meditation_center,Meditation Center
mediterranean_restaurant,mediterranean_restaurant,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant,Mediterranean Restaurant
memorial_park,memorial_park,cultural_and_historic > memorial_site > memorial_park,Memorial Park
memory_care,memory_care_facility,services_and_business > housing_or_property_service > senior_living_facility > memory_care_facility,Memory Care Facility
mens_clothing_store,mens_clothing_store,shopping > fashion_and_apparel_store > clothing_store > mens_clothing_store,Men's Clothing Store
merchandising_service,merchandising_service,services_and_business > professional_service > merchandising_service,Merchandising Service
metal_detector_services,metal_detector_service,services_and_business > technical_service > metal_detector_service,Metal Detector Service
metal_fabricator,metal_fabricator,services_and_business > b2b_service > manufacturer > metal_fabricator,Metal Fabricator
metal_materials_and_experts,metal_material_expert,services_and_business > building_or_construction_service > metal_material_expert,Metal Material Expert
metal_plating_service,metal_plating_service,services_and_business > b2b_service > b2b_industrial_and_machine_service > metal_plating_service,Metal Plating Service
metal_supplier,metal_supplier,services_and_business > b2b_service > supplier_or_distributor > metal_supplier,Metal Supplier
metals,metal_fabricator,services_and_business > b2b_service > manufacturer > metal_fabricator,Metal Fabricator
metro_station,metro_station,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service > metro_station,Metro Station
mexican_grocery_store,mexican_grocery_store,shopping > food_and_beverage_store > grocery_store > mexican_grocery_store,Mexican Grocery Store
mexican_restaurant,mexican_restaurant,food_and_drink > restaurant > latin_american_restaurant > mexican_restaurant,Mexican Restaurant
middle_eastern_restaurant,middle_eastern_restaurant,food_and_drink > restaurant > middle_eastern_restaurant,Middle Eastern Restaurant
middle_school,middle_school,education > place_of_learning > school > middle_school,Middle School
midwife,midwifery,health_care > outpatient_care_facility > reproductive_perinatal_and_womens_care > midwifery,Midwifery
military_museum,military_museum,arts_and_entertainment > museum > military_museum,Military Museum
military_surplus_store,military_surplus_store,shopping > specialty_store > tactical_supply_store > military_surplus_store,Military Surplus Store
milk_bar,milk_bar,food_and_drink > non_alcoholic_beverage_venue > milk_bar,Milk Bar
milkshake_bar,milkshake_bar,food_and_drink > non_alcoholic_beverage_venue > milkshake_bar,Milkshake Bar
mills,mill,services_and_business > b2b_service > manufacturer > mill,Mill
miniature_golf_course,miniature_golf_course,sports_and_recreation > sport_or_fitness_facility > miniature_golf_course,Miniature Golf Course
mining,b2b_mining,services_and_business > b2b_service > b2b_energy_and_utility_service > b2b_mining,B2B Mining
mission,historic_mission,cultural_and_historic > historic_site > historic_mission,Historic Mission
misting_system_services,misting_system_service,services_and_business > home_service > misting_system_service,Misting System Service
mobile_clinic,mobile_clinic,health_care > outpatient_care_facility > primary_care_or_general_clinic > mobile_clinic,Mobile Clinic
mobile_dent_repair,mobile_dent_repair,travel_and_transportation > vehicle_service > roadside_assistance > mobile_dent_repair,Mobile Dent Repair
mobile_home_dealer,mobile_home_dealer,services_and_business > real_estate_service > mobile_home_dealer,Mobile Home Dealer
mobile_home_park,mobile_home_park,services_and_business > housing_or_property_service > mobile_home_park,Mobile Home Park
mobile_home_repair,mobile_home_repair,services_and_business > home_service > mobile_home_repair,Mobile Home Repair
mobile_phone_accessories,mobile_phone_accessory_store,shopping > specialty_store > electronics_store > mobile_phone_accessory_store,Mobile Phone Accessory Store
